epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7439,2.49821,0.70856,0.72312,5.47985,2.68321,0.44277,0.20708,0.2505,0.18972,1,0.45708,0.67644,0.63024,2.25089,0.41441,0.72401,3.13663,2.58992,2e-05,2e-05,2e-05
2,63.2407,2.21285,0.58092,0.72886,4.82843,2.602,0.85935,0.25,0.31731,0.23104,1,0.34838,0.65412,0.62722,2.19207,0.48127,0.72545,2.82409,2.56035,5.802e-05,5.802e-05,5.802e-05
3,82.1962,1.79253,0.55721,0.72626,3.03544,1.99192,0.94725,0.25,0.40057,0.2858,0.94725,0.25,0.49697,0.46676,1.99098,0.54181,0.72872,2.41232,2.43774,9.34e-05,9.34e-05,9.34e-05
4,104.679,1.16105,0.70298,0.72324,1.49605,1.5055,0.87916,0.5,0.71414,0.47389,0.83948,0.5,0.7316,0.67472,1.55602,0.55717,0.72942,1.53589,2.14795,0.00012614,0.00012614,0.00012614
5,119.598,0.86019,0.67658,0.71621,1.02928,1.26707,0.88225,1,0.98167,0.65938,0.88225,1,0.98167,0.90383,1.26761,0.54816,0.72655,1.08138,1.96248,0.00015624,0.00015624,0.00015624
6,138.827,0.76511,0.55405,0.69471,0.94665,1.21404,0.8782,1,0.95389,0.67403,0.8782,1,0.95389,0.85551,1.21566,0.51457,0.71851,1.06338,1.99662,0.0001837,0.0001837,0.0001837
7,154.653,0.70642,0.5622,0.63897,0.74978,1.11066,0.72459,0.75,0.80405,0.52778,0.72459,0.75,0.80405,0.74335,1.22079,0.57432,0.69368,1.18092,2.03403,0.00020852,0.00020852,0.00020852
8,176.579,0.64698,0.4798,0.60411,0.61582,1.04749,0.72339,0.75,0.77903,0.4182,0.72339,0.75,0.80303,0.70705,1.41952,0.71909,0.66678,1.20487,2.26507,0.0002307,0.0002307,0.0002307
9,201.152,0.53507,0.53301,0.61311,0.52633,1.05598,0.7346,0.75,0.80136,0.46602,1,0.61156,0.87457,0.75137,1.4518,0.73949,0.65374,1.11961,2.117,0.00025024,0.00025024,0.00025024
10,222.098,0.67564,0.55244,0.59101,0.51502,1.13701,0.87473,0.8731,0.89977,0.53975,0.87473,0.8731,0.94602,0.77301,1.20993,0.80918,0.63951,1.02165,1.83346,0.00026714,0.00026714,0.00026714
11,242.861,0.64578,0.52956,0.60032,0.49278,1.07506,0.79969,0.99826,0.87933,0.54121,0.98985,0.875,0.98167,0.77888,1.25952,0.84047,0.61845,1.28252,1.93961,0.0002814,0.0002814,0.0002814
12,261.718,0.6578,0.48359,0.56376,0.52642,1.0758,0.77226,0.875,0.88344,0.49429,0.88344,1,0.95389,0.75233,1.40404,0.89193,0.58597,1.57786,2.11603,0.00029302,0.00029302,0.00029302
13,284.31,0.65584,0.44273,0.5831,0.575,1.0599,0.76694,0.82623,0.89944,0.47722,0.71221,1,0.945,0.73363,1.47607,0.95208,0.56993,2.24266,2.17114,0.000302,0.000302,0.000302
14,305.421,0.67871,0.46252,0.58906,0.58535,1.06394,0.49334,0.875,0.71179,0.42772,0.58931,1,0.76992,0.61393,1.56417,0.9391,0.55984,2.83561,2.26389,0.00030834,0.00030834,0.00030834
15,322.244,0.69341,0.44051,0.64391,0.4862,1.12211,0.63443,1,0.84338,0.47379,0.63443,1,0.84338,0.68107,1.42565,0.90366,0.56731,2.29548,2.18903,0.00031204,0.00031204,0.00031204
16,341.473,0.5127,0.52241,0.55687,0.4808,1.02773,0.71247,1,0.91167,0.50502,0.71247,1,0.91167,0.72959,1.38134,0.90959,0.58409,1.68375,2.0098,0.0003131,0.0003131,0.0003131
