epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,359.722,0.56869,0.49753,0.57301,0.41917,1.0448,0.85115,1,0.96722,0.59361,0.85115,1,0.96722,0.7868,1.3409,0.87616,0.58757,1.29204,1.95151,0.00031152,0.00031152,0.00031152
18,377.683,0.62263,0.45026,0.5467,0.42305,1.01136,0.92862,1,0.995,0.7008,0.92862,1,0.995,0.83436,1.13737,0.77752,0.58668,0.83119,1.69575,0.0003073,0.0003073,0.0003073
19,394.109,0.55086,0.49116,0.54253,0.38657,1.01946,0.99257,1,0.995,0.80931,0.99257,1,0.995,0.87767,0.87222,0.69491,0.58325,0.81271,1.40761,0.00030044,0.00030044,0.00030044
20,414.436,0.50959,0.41119,0.48865,0.36307,1.0061,0.97198,1,0.995,0.85823,0.97198,1,0.995,0.88053,0.70257,0.58197,0.55385,0.74139,1.24583,0.00029094,0.00029094,0.00029094
21,430.395,0.45488,0.49651,0.34826,0.37175,1.00669,0.99134,1,0.995,0.87073,0.99134,1,0.995,0.90977,0.60434,0.48742,0.51066,0.63564,1.10232,0.0002788,0.0002788,0.0002788
22,453.221,0.46694,0.48232,0.33321,0.36586,1.03062,0.99066,1,0.995,0.80988,0.99066,1,0.995,0.90458,0.63559,0.48173,0.45613,0.93763,1.14397,0.00026402,0.00026402,0.00026402
23,470.407,0.48284,0.5331,0.31877,0.3427,0.99221,0.99076,1,0.995,0.77697,0.99076,1,0.995,0.88614,0.67563,0.47257,0.38554,0.98574,1.24283,0.0002466,0.0002466,0.0002466
24,494.337,0.4923,0.485,0.327,0.39923,1.03674,0.99273,1,0.995,0.74663,0.99273,1,0.995,0.88562,0.84226,0.47673,0.32048,1.04564,1.47084,0.00022654,0.00022654,0.00022654
25,516.095,0.3688,0.50941,0.28273,0.30291,0.95075,0.99418,1,0.995,0.68651,0.99418,1,0.995,0.8856,0.95437,0.47945,0.25767,1.33555,1.60794,0.00020384,0.00020384,0.00020384
26,536.404,0.40868,0.5367,0.29447,0.30857,0.94973,0.99433,1,0.995,0.71568,0.99433,1,0.995,0.89374,0.90966,0.46231,0.21792,0.98952,1.53356,0.0001785,0.0001785,0.0001785
27,558.022,0.35886,0.46874,0.27488,0.31835,0.91713,0.99423,1,0.995,0.74681,0.99423,1,0.995,0.91016,0.79079,0.45004,0.20598,0.85724,1.42546,0.00015052,0.00015052,0.00015052
28,578.409,0.34387,0.46632,0.25741,0.26438,0.88079,0.99423,1,0.995,0.74681,0.99423,1,0.995,0.91016,0.79079,0.45004,0.20598,0.85724,1.42546,0.0001199,0.0001199,0.0001199
29,596.785,0.38017,0.5411,0.27822,0.29549,0.87063,0.99415,1,0.995,0.84602,0.99415,1,0.995,0.91028,0.74903,0.44371,0.20954,0.64974,1.40168,8.664e-05,8.664e-05,8.664e-05
30,617.845,0.38215,0.51256,0.27128,0.28589,0.88301,0.99419,1,0.995,0.82009,0.99419,1,0.995,0.91039,0.71575,0.42526,0.21634,0.57528,1.3711,5.074e-05,5.074e-05,5.074e-05
