image	text_normalized	text_raw	preprocessing_attempts
data_ocr/images/ストップウォッチ-1_OCR用.jpg	9:2627	9:2627	3
data_ocr/images/ストップウォッチ-2_OCR用.jpg	22:43	22:43	1
data_ocr/images/ストップウォッチ-3_OCR用.jpg	13:28 48	13:28 48	1
data_ocr/images/ストップウォッチ-4_OCR用.jpg	10. 0045	10. 0045	4
data_ocr/images/ストップウォッチ-5_OCR用.jpg	24	24	14
data_ocr/images/ストップウォッチ-6_OCR用.jpg	65	65	1
data_ocr/images/ストップウォッチ-7_OCR用.jpg	5/15	5/15	1
data_ocr/images/デジタル時計-1_OCR用.jpg	10:03	10:03	2
data_ocr/images/デジタル時計-2_OCR用.jpg	04	04	1
data_ocr/images/デジタル時計-3_OCR用.jpg	20:59	20:59	1
data_ocr/images/デジタル時計-4_OCR用.jpg	09:33	09:33	1
data_ocr/images/デジタル時計-5_OCR用.jpg	15:48:21	15:48:21	1
data_ocr/images/デジタル時計-6_OCR用.jpg	12:30	12:30	1
data_ocr/images/デジタル時計-7_OCR用.jpg	11 15	11 15	1
data_ocr/images/温度計-2_OCR用.jpg	36.6 -	36.6 -	1
data_ocr/images/温度計-3_OCR用.jpg	10	10	1
data_ocr/images/温度計-4_OCR用.jpg	35.9	35.9	1
data_ocr/images/温度計-5_OCR用.jpg	(1/0)	(1/0)	1
data_ocr/images/温度計-6_OCR用.jpg	767°	767°	3
data_ocr/images/温度計-7_OCR用.jpg	36.45	36.45	3
data_ocr/images/電卓-2_OCR用.jpg	2024	2024	1
data_ocr/images/電卓-3_OCR用.jpg	314	314	2
data_ocr/images/電卓-4_OCR用.jpg	20 21	20 21	1
data_ocr/images/電卓-5_OCR用.jpg	142565	142565	1
data_ocr/images/電卓-6_OCR用.jpg	25	25	14
data_ocr/images/電卓-7_OCR用.jpg	66553	66553	1
